,instance_weights
0,0.9945217824865259
1,0.9945217824865259
2,0.9945217824865259
3,0.9945217824865259
4,1.0531174581748273
5,0.9945217824865259
6,0.9945217824865259
7,0.9945217824865259
8,0.9945217824865259
9,0.9945217824865259
10,1.0531174581748273
11,0.9945217824865259
12,0.9945217824865259
13,0.9945217824865259
14,0.9945217824865259
15,0.9945217824865259
16,1.404040993329833
17,1.0531174581748273
18,0.9945217824865259
19,0.9945217824865259
20,0.9945217824865259
21,0.9945217824865259
22,0.9945217824865259
23,0.9945217824865259
24,0.9945217824865259
25,0.9945217824865259
26,0.9945217824865259
27,0.9945217824865259
28,0.9945217824865259
29,0.9945217824865259
30,0.9945217824865259
31,1.0531174581748273
32,0.9945217824865259
33,0.9945217824865259
34,0.9945217824865259
35,0.9945217824865259
36,0.9945217824865259
37,1.0531174581748273
38,0.9945217824865259
39,0.9945217824865259
40,0.9945217824865259
41,0.9945217824865259
42,0.9945217824865259
43,0.9945217824865259
44,0.9945217824865259
45,0.9945217824865259
46,0.9945217824865259
47,0.9945217824865259
48,0.9945217824865259
49,0.9945217824865259
50,0.9945217824865259
51,0.9945217824865259
52,0.9945217824865259
53,0.9945217824865259
54,0.9945217824865259
55,0.9945217824865259
56,0.9945217824865259
57,0.9945217824865259
58,0.9945217824865259
59,0.9945217824865259
60,0.9945217824865259
61,0.9945217824865259
62,0.9945217824865259
63,0.9945217824865259
64,1.0531174581748273
65,0.9945217824865259
66,0.9945217824865259
67,0.9945217824865259
68,0.9945217824865259
69,1.0531174581748273
70,0.9945217824865259
71,0.9945217824865259
72,1.404040993329833
73,0.9945217824865259
74,0.9945217824865259
75,1.0531174581748273
76,0.9945217824865259
77,0.9945217824865259
78,0.9945217824865259
79,0.9945217824865259
80,0.9945217824865259
81,0.9945217824865259
82,0.9945217824865259
83,0.9945217824865259
84,0.9945217824865259
85,0.9945217824865259
86,0.9945217824865259
87,0.9945217824865259
88,1.404040993329833
89,0.9945217824865259
90,0.9945217824865259
91,0.9945217824865259
92,0.9945217824865259
93,0.9945217824865259
94,0.9945217824865259
95,0.9945217824865259
96,1.0531174581748273
97,0.9945217824865259
98,0.9945217824865259
99,1.0531174581748273
100,0.9945217824865259
101,0.9945217824865259
102,0.9945217824865259
103,0.9945217824865259
104,1.0531174581748273
105,0.9945217824865259
106,0.9945217824865259
107,0.9945217824865259
108,0.9945217824865259
109,0.9945217824865259
110,0.9945217824865259
111,0.9945217824865259
112,0.9945217824865259
113,0.9945217824865259
114,0.9945217824865259
